tweet_id,user_id,username,full_name,account_created_at,verified,followers_count,following_count,statuses_count,user_location,device_type,timestamp,text,hashtags,retweet_count,like_count,reply_count,quote_count,language,topic,source_profile_age_days,source_follower_ratio,source_is_verified,engagement_velocity,post_heat_score,account_consistency_score,community_validation_score,temporal_freshness_score,predicted_sentiment,predicted_confidence,source_credibility,user_consistency,community_validation,temporal_freshness,trust_score,trust_explanation
200000000000000000,100001,mzanziblog_1,John Kileo,2016-08-02T17:22:33.708072+00:00,False,66,4517,1524,Tanzania,Twitter for Mac,2025-11-25T06:26:33.723289+00:00,Taarifa za asubuhi kuhusu mikutano ya kampeni zimetolewa. #ChaguziTZ,#ChaguziTZ,0,6,0,1,sw,#ChaguziTZ,3402,0.015,0,0.549,3.0,15.24,0.6,95.44,neutral,0.9335668683052064,37.333333333333336,4.572,0.12,9.544,17.28,Account is not verified; Account age: 3402 days (older accounts score higher); User consistency score: 15.2; Community validation score: 0.6; Temporal freshness score: 95.4
200000000000000001,100002,habari360_2,Juma Kileo,2024-07-26T17:22:33.708146+00:00,True,127,4647,3357,Tanzania,Twitter for iPhone,2025-11-23T17:04:33.736915+00:00,Taarifa za asubuhi kuhusu mikutano ya kampeni zimetolewa. Wagombea wameweka sera za kiuchumi.,,1,0,0,0,sw,Political Campaigns,487,0.027,1,0.021,1.0,43.57,0.1,79.87,neutral,0.9584684371948242,45.3443072702332,13.071,0.02,7.987000000000001,22.86,Account is verified (+ boost); Account age: 487 days (older accounts score higher); User consistency score: 43.6; Community validation score: 0.1; Temporal freshness score: 79.9
200000000000000002,100003,darnews_3,Mwajuma Mboya,2020-03-13T17:22:33.708173+00:00,False,901,103,2715,Tanzania,Twitter for Android,2025-11-20T04:25:33.739573+00:00,Huwa tunapata taarifa zisizo za uhakika zikienea. Wagombea wameweka sera za kiuchumi.,,4,14,0,0,sw,Political Campaigns,2083,8.663,0,0.135,11.0,27.15,1.8,44.6,neutral,0.9057852029800416,22.858710562414263,8.145,0.36,4.46,12.1,Account is not verified; Account age: 2083 days (older accounts score higher); User consistency score: 27.1; Community validation score: 1.8; Temporal freshness score: 44.6
200000000000000003,100004,darnews_4,Juma Ngoma,2021-10-14T17:22:33.708193+00:00,True,1315,809,6324,Tanzania,Twitter for iPhone,2025-11-19T22:14:33.742358+00:00,Serikali imeanza kutoa msaada kwa familia zilizoathirika. Hapa kuna taarifa kuhusu taratibu.,,3,9,2,0,sw,chaguzi,1503,1.623,1,0.101,9.1,73.24,1.4,42.03,neutral,0.5921803116798401,56.49382716049382,21.972,0.2799999999999999,4.203,29.67,Account is verified (+ boost); Account age: 1503 days (older accounts score higher); User consistency score: 73.2; Community validation score: 1.4; Temporal freshness score: 42.0
200000000000000004,100005,habari_5,Mariam Ngoma,2018-02-18T17:22:33.708209+00:00,False,94,1072,6301,Tanzania,Twitter for iPad,2025-11-18T18:24:33.744932+00:00,Wananchi wanachoka na ahadi zisizotekelezwa. Kampeni zimepunguza pengo la elimu kwa vijana.,,0,0,0,0,sw,Political Campaigns,2837,0.088,0,0.0,0.0,63.01,0.0,30.43,neutral,0.5330401659011841,31.13305898491084,18.903,0.0,3.043,18.43,Account is not verified; Account age: 2837 days (older accounts score higher); User consistency score: 63.0; Community validation score: 0.0; Temporal freshness score: 30.4
200000000000000005,100006,habari_6,Sam Mponda,2017-11-08T17:22:33.708228+00:00,False,1751,619,850,Tanzania,Twitter Web App,2025-11-20T06:43:33.747411+00:00,Wananchi wanachoka na ahadi zisizotekelezwa. Wananchi wanashiriki mijadala kuhusu uongozi.,#Suluhu,2,22,0,2,sw,#Suluhu,2939,2.824,0,0.184,13.0,8.5,2.4,45.56,neutral,0.6186925768852234,32.25240054869685,2.55,0.48,4.556,14.22,Account is not verified; Account age: 2939 days (older accounts score higher); User consistency score: 8.5; Community validation score: 2.4; Temporal freshness score: 45.6
200000000000000006,100007,mzanziblog_7,Ali Mponda,2024-01-04T17:22:33.708244+00:00,False,1112,3764,6077,Tanzania,Twitter for Android,2025-11-21T06:03:33.749603+00:00,Taarifa hii inaonekana kupotosha; tunahitaji uchunguzi. chaguzi #Tanzania,,5,7,0,1,sw,chaguzi,691,0.295,0,0.112,8.5,60.77,1.2,55.28,negative,0.7772480845451355,7.582990397805213,18.231,0.24,5.5280000000000005,9.1,Account is not verified; Account age: 691 days (older accounts score higher); User consistency score: 60.8; Community validation score: 1.2; Temporal freshness score: 55.3
200000000000000007,100008,sauti_8,Mariam Ngoma,2022-07-21T17:22:33.708260+00:00,False,1204,634,2903,Tanzania,Twitter for iPad,2025-11-23T01:22:33.751781+00:00,Kuna madai ya ufisadi ambayo hayajachunguzwa. chaguzi,,3,2,1,0,sw,chaguzi,1223,1.896,0,0.094,4.8,29.03,0.6,73.33,negative,0.7220805287361145,13.421124828532236,8.709,0.12,7.333,8.74,Account is not verified; Account age: 1223 days (older accounts score higher); User consistency score: 29.0; Community validation score: 0.6; Temporal freshness score: 73.3
200000000000000008,100009,baba_9,Peter Msuya,2023-01-26T17:22:33.708293+00:00,False,610,2706,1016,Tanzania,Twitter Web App,2025-11-20T20:56:33.753992+00:00,Kuna madai ya ufisadi ambayo hayajachunguzwa. Hapa kuna taarifa kuhusu taratibu.,,2,0,2,0,sw,chaguzi,1034,0.225,0,0.034,3.6,10.16,0.4,51.49,neutral,0.978596806526184,11.34705075445816,3.048,0.08,5.149000000000001,5.98,Account is not verified; Account age: 1034 days (older accounts score higher); User consistency score: 10.2; Community validation score: 0.4; Temporal freshness score: 51.5
200000000000000009,100010,mtu_10,Amina Ngoma,2020-05-27T17:22:33.708313+00:00,False,1034,4139,6582,Tanzania,Twitter for Android,2025-11-25T08:13:33.756154+00:00,"Hili ni uchovu mkubwa, serikali haijafanya lolote. chaguzi kwa kweli",,0,14,1,0,sw,chaguzi,2008,0.25,0,1.639,7.8,65.82,1.5,96.19,negative,0.9591277241706848,22.03566529492456,19.746,0.3,9.619,15.76,Account is not verified; Account age: 2008 days (older accounts score higher); User consistency score: 65.8; Community validation score: 1.5; Temporal freshness score: 96.2
